Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1
1,0.14135459388745208,0.9385714285714286,0.10786901215408687,0.9504444444444444,0.9767966484047695,0.9393789127874543,0.9577224469160769
2,0.09215368049698217,0.9611587301587302,0.08221725265985286,0.9664444444444444,0.9759329874351441,0.967705944337693,0.9718020541549953
3,0.07652871571099829,0.9681349206349207,0.07882701403357917,0.9667037037037037,0.9794787863527634,0.9644827372466374,0.9719229207657953
4,0.06849617267513855,0.9719126984126985,0.08597435398689575,0.9602222222222222,0.9819496895602637,0.9509080766131531,0.9661796195994458
5,0.06121565860501003,0.9746746031746032,0.07475226252881327,0.9688518518518519,0.9819110046640616,0.9656604475299077,0.9737179286852714
6,0.05312526848126898,0.9782698412698413,0.07315197792362974,0.9708148148148148,0.977234558686322,0.9738424347610488,0.97553554796647
7,0.04931739116618262,0.9803253968253969,0.0717301145106968,0.9711481481481481,0.9813166144200627,0.9701853344077357,0.9757192282517221
8,0.044715517540887324,0.9820396825396825,0.07564705301900566,0.9714074074074074,0.9805418256897954,0.9714250294427571,0.9759621372524598
9,0.041993881525120715,0.9831984126984127,0.07130962653980262,0.9760740740740741,0.9763764995386035,0.9837599950412199,0.9800543411139928
10,0.03836259720276021,0.9846428571428572,0.07288886856453286,0.9748888888888889,0.9803568098464599,0.977561519866113,0.9789571694599628
